Serial | Migration Date       | Table / Action
41     | 2018-07-08 04:39:44 | languages_table
42     | 2018-07-11 10:21:44 | 2018_07_11_102144_add_user_id_to_returns_table
43     | 2018-07-12 13:03:34 | 2018_07_12_130334_add_user_id_to_payments_table
44     | 2018-07-22 13:05:41 | 2018_07_22_130541_add_digital_to_products_table
45     | 2018-07-24 15:42:50 | deliveries_table
46     | 2018-08-16 05:33:36 | expense_categories_table
47     | 2018-08-17 11:54:15 | expenses_table
48     | 2018-08-18 05:04:18 | gift_cards_table
49     | 2018-08-18 05:04:21 | payment_with_gift_card_table
50     | 2018-08-25 04:23:33 | gift_card_recharges_table
51     | 2018-08-25 10:13:54 | 2018_08_25_101354_add_deposit_expense_to_customers_table
52     | 2018-08-27 03:48:01 | deposits_table
53     | 2018-09-02 04:40:42 | 2018_09_02_044042_add_keybord_active_to_pos_setting_table
54     | 2018-09-09 09:27:13 | payment_with_paypal_table
55     | 2018-09-10 05:12:54 | 2018_09_10_051254_add_currency_to_general_settings_table
56     | 2018-10-26 03:49:27 | coupons_table
57     | 2018-10-27 09:08:57 | 2018_10_27_090857_add_coupon_to_sales_table
58     | 2018-11-07 07:01:55 | 2018_11_07_070155_add_currency_position_to_general_settings_table
59     | 2018-11-19 09:46:50 | 2018_11_19_094650_add_combo_to_products_table
60     | 2018-12-09 07:34:12 | accounts_table
61     | 2018-12-17 11:22:53 | 2018_12_17_112253_add_is_default_to_accounts_table
62     | 2018-12-19 13:09:41 | 2018_12_19_130941_add_account_id_to_payments_table
63     | 2018-12-20 06:59:00 | 2018_12_20_065900_add_account_id_to_expenses_table
64     | 2018-12-20 08:27:53 | 2018_12_20_082753_add_account_id_to_returns_table
65     | 2018-12-26 06:34:30 | return_purchases_table
66     | 2018-12-26 14:47:08 | purchase_product_return_table
67     | 2018-12-30 05:48:44 | employees_table
68     | 2018-12-31 15:22:10 | payrolls_table
69     | 2018-12-31 15:22:46 | 2018_12_31_152246_add_department_id_to_employees_table
70     | 2019-01-01 06:27:08 | 2019_01_01_062708_add_user_id_to_expenses_table
71     | 2019-01-02 07:56:44 | hrm_settings_table
72     | 2019-01-02 09:03:34 | attendances_table
73     | 2019-01-27 16:09:56 | 2019_01_27_160956_add_three_columns_to_general_settings_table
74     | 2019-02-05 18:33:03 | stock_counts_table
75     | 2019-02-17 10:16:04 | 2019_02_17_101604_add_is_adjusted_to_stock_counts_table
76     | 2019-03-13 10:17:07 | 2019_03_13_101707_add_tax_no_to_customers_table
77     | 2019-06-19 00:00:00 | failed_jobs_table
78     | 2019-07-14 11:14:55 | holidays_table
79     | 2019-11-13 14:56:19 | 2019_11_13_145619_add_is_variant_to_products_table
80     | 2019-11-13 15:02:06 | product_variants_table
81     | 2019-11-13 15:38:23 | product_batch_table
82     | 2019-11-25 13:40:41 | 2019_11_25_134041_add_qty_to_product_variants_table
83     | 2019-11-25 13:49:22 | 2019_11_25_134922_add_variant_id_to_product_purchases_table
84     | 2019-11-25 14:53:41 | 2019_11_25_145341_add_variant_id_to_product_warehouse_table
85     | 2019-11-29 18:22:01 | 2019_11_29_182201_add_variant_id_to_product_sales_table
86     | 2019-12-04 12:31:11 | 2019_12_04_123111_add_variant_id_to_product_quotation_table
87     | 2019-12-05 12:38:02 | 2019_12_05_123802_add_variant_id_to_product_transfer_table
88     | 2019-12-08 11:49:54 | 2019_12_08_114954_add_variant_id_to_product_returns_table
89     | 2019-12-08 20:31:46 | 2019_12_08_203146_add_variant_id_to_purchase_product_return_table
90     | 2020-02-03 05:26:22 | money_transfers_table
91     | 2020-07-01 19:31:51 | 2020_07_01_193151_add_image_to_categories_table
92     | 2020-09-26 13:04:26 | 2020_09_26_130426_add_user_id_to_deliveries_table
93     | 2020-11-11 12:54:57 | cash_registers_table
94     | 2020-11-13 15:50:19 | 2020_11_13_155019_add_cash_register_id_to_sales_table
95     | 2020-11-13 17:26:24 | 2020_11_13_172624_add_cash_register_id_to_returns_table
96     | 2020-11-17 21:23:38 | 2020_11_17_212338_add_cash_register_id_to_payments_table
97     | 2020-11-18 12:40:20 | 2020_11_18_124020_add_cash_register_id_to_expenses_table
98     | 2020-11-21 12:16:32 | 2020_11_21_121632_add_developed_by_to_general_settings_table
99     | 2020-11-30 13:55:57 | notifications_table
100    | 2020-12-05 09:52:34 | currencies_table
101    | 2021-01-02 06:53:43 | 2021_01_02_065343_add_price_to_product_warehouse_table
102    | 2021-01-12 05:06:33 | 2021_01_12_050633_add_is_diff_price_to_products_table
103    | 2021-01-13 06:56:32 | 2021_01_13_065632_add_user_id_to_customers_table
104    | 2021-11-17 05:48:06 | 2021_11_17_054806_add_invoice_format_to_general_settings_table
